,SourceID,TargetID
1275,RP11-146B14.1,TLR2
1423,RP4-647J21.1,TLR2
2022,RP11-59D5__B.2,TLR2
5310,RP11-153M7.3,TAF7
12147,RP11-59D5__B.2,PCBP1
12263,MRFAP1,PCBP1
26879,RP11-467L13.7,HNRNPA1P7
32994,RNU1-3,GPRIN3
33550,RP11-363E7.4,RNU1-28P
33591,RP11-823E8.3,RNU1-28P
33601,FAM91A3P,RNU1-28P
33605,MEMO1P1,RNU1-28P
33606,RP11-568N6.1,RNU1-28P
33607,ILF3-AS1,RNU1-28P
33619,HEXA-AS1,RNU1-28P
33624,RP1-80N2.3,RNU1-28P
33645,CTD-2270P14.2,RNU1-28P
33649,RPSAP54,RNU1-28P
33666,CTB-176F20.3,RNU1-28P
33689,CTAGE8,RNU1-28P
33696,CTD-3105H18.14,RNU1-28P
33743,RP1-20N2.8,RNU1-28P
33759,RP11-439E19.10,RNU1-28P
33772,UTY,RNU1-28P
33780,RP3-329A5.8,RNU1-28P
33797,RP11-468O2.1,RNU1-28P
34108,RP11-53I6.4,RNU1-28P
40708,HLA-DQB1,P2RY1
56950,AC007036.5,LCMT2
56961,S100A6,LCMT2
57075,CCR1,LCMT2
61517,RABIF,AC026271.5
68545,RP11-861E21.2,RP11-65L3.3
89423,FZD1,XIST
92606,RP11-823E8.3,RP11-363E7.4
92616,FAM91A3P,RP11-363E7.4
92620,MEMO1P1,RP11-363E7.4
92621,RP11-568N6.1,RP11-363E7.4
92622,ILF3-AS1,RP11-363E7.4
92634,HEXA-AS1,RP11-363E7.4
92639,RP1-80N2.3,RP11-363E7.4
92660,CTD-2270P14.2,RP11-363E7.4
92664,RPSAP54,RP11-363E7.4
92681,CTB-176F20.3,RP11-363E7.4
92704,CTAGE8,RP11-363E7.4
92711,CTD-3105H18.14,RP11-363E7.4
92758,RP1-20N2.8,RP11-363E7.4
92774,RP11-439E19.10,RP11-363E7.4
92787,UTY,RP11-363E7.4
92795,RP3-329A5.8,RP11-363E7.4
92812,RP11-468O2.1,RP11-363E7.4
93123,RP11-53I6.4,RP11-363E7.4
106987,TUSC3,PRNCR1
116494,RP11-96K19.4,RP11-424G14.1
118687,CTC-359D24.3,CTC-444N24.11
130652,RPL3P4,HSP90B2P
134434,RP11-197N18.2,RPL14P1
134641,FAM91A3P,RP11-823E8.3
134645,MEMO1P1,RP11-823E8.3
134646,RP11-568N6.1,RP11-823E8.3
134647,ILF3-AS1,RP11-823E8.3
134659,HEXA-AS1,RP11-823E8.3
134664,RP1-80N2.3,RP11-823E8.3
134685,CTD-2270P14.2,RP11-823E8.3
134689,RPSAP54,RP11-823E8.3
134706,CTB-176F20.3,RP11-823E8.3
134729,CTAGE8,RP11-823E8.3
134736,CTD-3105H18.14,RP11-823E8.3
134783,RP1-20N2.8,RP11-823E8.3
134799,RP11-439E19.10,RP11-823E8.3
134812,UTY,RP11-823E8.3
134820,RP3-329A5.8,RP11-823E8.3
134837,RP11-468O2.1,RP11-823E8.3
135148,RP11-53I6.4,RP11-823E8.3
142776,MTCO1P12,RP11-95D17.1
144000,ZBED6CL,AC010547.9
144640,MEMO1P1,FAM91A3P
144641,RP11-568N6.1,FAM91A3P
144642,ILF3-AS1,FAM91A3P
144654,HEXA-AS1,FAM91A3P
144659,RP1-80N2.3,FAM91A3P
144680,CTD-2270P14.2,FAM91A3P
144684,RPSAP54,FAM91A3P
144701,CTB-176F20.3,FAM91A3P
144724,CTAGE8,FAM91A3P
144731,CTD-3105H18.14,FAM91A3P
144778,RP1-20N2.8,FAM91A3P
144794,RP11-439E19.10,FAM91A3P
144807,UTY,FAM91A3P
144815,RP3-329A5.8,FAM91A3P
144832,RP11-468O2.1,FAM91A3P
145143,RP11-53I6.4,FAM91A3P
148611,RP11-568N6.1,MEMO1P1
148612,ILF3-AS1,MEMO1P1
148624,HEXA-AS1,MEMO1P1
148629,RP1-80N2.3,MEMO1P1
148650,CTD-2270P14.2,MEMO1P1
148654,RPSAP54,MEMO1P1
148671,CTB-176F20.3,MEMO1P1
148694,CTAGE8,MEMO1P1
148701,CTD-3105H18.14,MEMO1P1
148748,RP1-20N2.8,MEMO1P1
148764,RP11-439E19.10,MEMO1P1
148777,UTY,MEMO1P1
